2007	6053,4841,5577,5404,6267,6229,6465,6384,6070,6321,6032,6131
2008	6373,5242,5913,5661,6252,6218,6782,7019,6587,6640,6036,6276
2009	5714,5152,5953,5848,6303,6228,6556,6688,6530,6587,6088,5990
2010	6209,4527,5799,6179,6268,6431,6783,6802,6591,6865,6294,5611
2011	5213,4990,5850,5844,6395,6460,6938,6431,6263,6652,6571,6278
2012	6046,5523,6098,5923,6556,6592,6821,6817,6532,6353,5641,6339
2013	5963,4993,5784,5939,6554,6367,7089,7201,7017,7303,6476,6414
2014	5947,5117,6037,5896,6958,6808,7211,7506,7010,6924,6176,6008
2006	5932,4855,5758,5772,6189,6138,6178,6355,6004,6260,6010,6160
2015	5408,4513,5758,6157,6670,6593,6845,6708,6238,6275,5861,5774
