678	3277,2902,2055
460	0,3,13
357	5,6,0
117	19089,17082,9617
123	0,4,0
233	22348,11762,9140
672	13,2,5
344	211136,169765,139581
356	83,231,295
116	4286,2545,2982
124	1198,698,391
119	4,11,33
345	320,612,409
366	20,17,7
355	4763,4683,2872
109	231752,115405,66177
111	3369,2130,1763
125	1566,1175,1007
234	32,38,41
106	65478,58657,59617
118	14911,18918,16203
346	96,327,327
354	54,24,17
110	37478,43559,20659
126	49322,37438,23347
235	97340,132215,56035
107	112077,47099,31678
347	5822,11111,56738
353	6296,3701,3745
113	25029,14773,9101
685	1,9,8
364	3692,1471,325
348	26991,19936,12107
236	24844,30259,18473
104	4660,3052,5208
237	73,56,38
572	329,284,214
112	38390,6442,8817
340	18010,6618,6448
352	26547,25826,14100
675	645,508,291
365	5626,2956,1274
349	30,14,3
359	43530,33224,23158
105	72876,65356,60129
881	3,7,3
230	130,74,95
676	16,7,8
120	170,134,61
341	408201,249049,85754
351	177743,154156,100065
362	1,1,1
358	121,54,27
677	1,4,1
231	1159,626,691
115	41,35,44
121	25812,25582,20802
238	1405,871,365
342	372,332,196
350	543,896,380
102	9,4,2
363	253,344,213
578	328413,194425,79034
577	1,1,1
455	58,1,0
114	4133,4117,5651
122	74,43,4
360	14,9,0
343	2147,551,79
232	11584,5960,2668
