678	8170,64
460	16,0
357	11,0
117	45023,765
123	2,2
233	42348,902
672	20,0
344	517122,3360
356	602,7
116	9392,421
124	2102,185
119	47,1
345	1338,3
355	12154,164
109	405949,7385
111	7138,124
125	3727,21
234	107,4
366	44,0
106	175174,8577
118	49652,380
346	744,6
354	91,4
110	98412,3283
126	108795,1312
235	283970,1620
107	177320,13534
347	73197,474
353	13570,172
113	48310,593
685	18,0
236	72949,627
348	58826,208
364	5440,48
104	11508,1412
237	135,32
572	816,11
112	52084,1565
340	29956,1120
352	66113,360
675	1434,10
365	9797,59
349	47,0
359	99038,874
105	176510,21851
881	13,0
362	3,0
676	31,0
120	356,9
341	733883,9120
351	430239,1723
230	286,13
358	196,6
677	6,0
363	803,7
115	117,3
121	71960,236
238	2580,61
342	867,33
350	1805,14
102	15,0
231	2452,24
578	600220,1652
577	3,0
455	58,1
114	13644,257
122	121,0
360	23,0
343	2746,31
232	19629,582
