101	3178
102	78
103	24
104	10091
105	140670
106	139382
107	134921
109	311974
110	66157
111	6257
112	40314
113	33278
114	9705
115	80
116	8182
117	40812
118	38187
119	44
120	254
121	53386
122	49
123	2
124	1507
125	2801
126	84904
230	247
231	2016
232	15414
233	32283
234	88
235	207313
236	54264
237	103
238	1937
340	24830
341	612853
342	547
343	10895
344	386961
345	1170
346	560
347	52380
348	44473
349	34
350	1426
351	308793
352	46284
353	10456
354	60
355	9175
356	483
357	7
358	12877
359	78467
360	11378
361	196447
362	3
363	664
364	4122
365	7374
366	33
455	47
460	14
571	108
572	795
577	3
578	433013
672	14
675	1038
676	20
677	160
678	6470
685	12
881	12
