BRONX,1348164,1354056,1363488,1376261,1388264,1400221,1415240,1429123,1441757,1455444
STATEN ISLAND,457577,459642,463701,466965,469645,471102,470874,472570,473301,474558
MANHATTAN,1578171,1581402,1587022,1583431,1588609,1609789,1624885,1631375,1636966,1644518
BROOKLYN,2436132,2441324,2460361,2487751,2510335,2544744,2573998,2600098,2620720,2636735
QUEENS,2173862,2177351,2193623,2217166,2235573,2261144,2280072,2302881,2322450,2339150
