VIOLATION,69324,65869,61916,59758,58513,55344,58098,58679,62809,62233
FELONY,171033,164020,160339,146827,145063,145815,151572,149890,144582,140135
MISDEMEANOR,244849,256763,258936,258571,260993,254903,252520,243256,245395,228587
