BRONX,17301,17575,17992,18048,18171,18269,18456
STATEN ISLAND,30603,30843,31276,31537,31823,32091,32041
MANHATTAN,60047,59149,61290,61951,62498,63610,64993
BROOKLYN,22959,23605,24398,24649,25289,25932,26774
QUEENS,25268,25553,26234,26373,26495,26580,26876
