Bronx,1348164,1354056,1363488,1376261,1388264
StatenIsland,457577,459642,463701,466965,469645
Manhattan,1578171,1581402,1587022,1583431,1588609
Brooklyn,2436132,2441324,2460361,2487751,2510335
Queens,2173862,2177351,2193623,2217166,2235573
